Time_Point,Media Type,Flow Rate,Centrifuged,405nm_alkP,488nm_VFz_abs,560nm_alamB,488nm_VF_FL
6,Std,0,1,0.1787,0.1797,0.3577,
6,Std,0,0,,0.0594,0.0605,
6,Std,0,1,,0.4977,0.1024,"107,189"
7,Std,50,0,0.1881,0.1798,0.4524,"255,145"
7,Std,50,1,0.1667,0.161,0.3899,"218,111"
7,Std,100,0,0.763,0.683,1.032,"219,622"
7,Std,100,1,0.481,0.4105,0.509,"183,164"
7,Std,150,0,0.3553,0.3056,0.4454,"184,099"
7,Std,150,1,0.6708,0.5013,0.537,"148,217"
0,Std,50,0,0.5021,0.2745,0.3482,"419,113"
0,Std,50,1,0.3711,0.2119,0.2661,"660,201"
0,Std,100,0,0.3097,0.249,0.203,"289,431"
0,Std,100,1,0.1147,0.1023,0.1067,"389,001"
0,Std,150,0,0.1259,0.1153,0.1224,"159,749"
0,Std,150,1,0.1564,0.145,0.1487,"117,801"
1,Std,50,0,0.3252,0.4815,0.6681,"653,717"
1,Std,50,1,0.3121,0.4147,0.6643,"614,898"
1,Std,100,0,0.1645,0.163,0.2593,"449,524"
1,Std,100,1,0.317,0.258,0.281,"451,421"
1,Std,150,0,0.277,0.4182,0.618,"245,331"
1,Std,150,1,0.2675,0.4089,0.5354,"287,944"
2,Std,50,0,0.4269,0.7082,1.0747,"524,342"
2,Std,50,1,0.3916,0.4304,0.6532,"550,322"
2,Std,100,0,0.4127,0.3503,0.3743,"383,010"
2,Std,100,1,0.166,0.1625,0.329,"375,718"
2,Std,150,0,0.3985,0.3135,0.6227,"241,678"
2,Std,150,1,0.412,0.356,0.6984,"201,114"
3,Std,50,0,0.5437,0.4451,0.6894,"803,112"
3,Std,50,1,0.5203,0.3885,0.5991,"708,582"
3,Std,100,0,0.1387,0.1267,0.1483,"564,598"
3,Std,100,1,0.41,0.3427,0.384,"508,834"
3,Std,150,0,0.3311,0.334,0.4649,"326,085"
3,Std,150,1,0.3183,0.3449,0.5528,"309,086"
3.5,Std,50,0,0.7347,0.6327,0.9489,"774,765"
3.5,Std,50,1,0.7136,0.6551,1.0156,"1,035,422"
3.5,Std,100,0,1.46,1.2705,1.0253,"596,188"
3.5,Std,100,1,0.1443,0.1277,0.1627,"646,986"
3.5,Std,150,0,0.2643,0.1894,0.2914,"417,611"
3.5,Std,150,1,0.2449,0.4465,0.4719,"258,551"
4,Std,50,0,0.7046,0.5598,0.8983,"1,058,394"
4,Std,50,1,0.6462,0.5352,0.9295,"440,303"
4,Std,100,0,1.1615,1.2705,1.0253,"685,775"
4,Std,100,1,1.195,0.9865,1.1165,"419,171"
4,Std,150,0,0.5512,0.2886,0.3919,"313,155"
4,Std,150,1,0.5198,0.4216,0.5028,"398,040"
5,Std,50,0,0.3216,0.3025,0.6115,"269,369"
5,Std,50,1,0.3041,0.2877,0.4632,"244,168"
5,Std,100,0,1.1615,0.928,0.6183,"247,697"
5,Std,100,1,0.8615,0.6475,0.7375,"254,568"
5,Std,150,0,0.3032,0.2278,0.3539,"226,025"
5,Std,150,1,0.5605,0.3763,0.3888,"264,969"
6,Std,50,0,0.3061,0.3052,0.6587,"209,687"
6,Std,50,1,0.2712,0.265,0.4336,"188,831"
6,Std,100,0,0.6885,0.63,0.918,"219,295"
6,Std,100,1,0.587,0.5175,0.7375,"185,134"
6,Std,150,0,0.3045,0.2775,0.5555,"228,904"
6,Std,150,1,0.5346,0.4302,0.5789,"181,436"
7,Std,50,0,0.1885,0.1866,0.4834,"222,622"
7,Std,50,1,0.1667,0.1622,0.3944,"111,572"
7,Std,100,0,0.763,0.683,1.032,
7,Std,100,1,0.4805,0.3945,0.464,
7,Std,150,0,0.35,0.2939,0.5013,"188,807"
7,Std,150,1,0.6708,0.4802,0.5462,"132,042"
0,Std,50,0,0.4732,0.267,0.3626,"364,216"
0,Std,50,1,0.3711,0.1978,0.257,"189,647"
0,Std,100,0,0.3097,0.249,0.203,
0,Std,100,1,0.309,0.2497,0.267,
0,Std,150,0,0.117,0.1067,0.1168,"273,469"
0,Std,150,1,0.1564,0.1282,0.1375,"92,741"
1,Std,50,0,0.317,0.4746,0.7375,"666,395"
1,Std,50,1,0.3121,0.4202,0.7345,"151,164"
1,Std,100,0,0.1645,0.163,0.2593,
1,Std,100,1,0.166,0.1615,0.3185,
1,Std,150,0,0.2741,0.4265,0.6901,"318,504"
1,Std,150,1,0.2675,0.4141,0.5672,"56,133"
2,Std,50,0,0.4149,0.6882,1.0833,"565,156"
2,Std,50,1,0.3916,0.4401,0.6699,"65,347"
2,Std,100,0,0.4127,0.3503,0.3743,
2,Std,100,1,0.4337,0.365,0.399,
2,Std,150,0,0.3879,0.3313,0.7327,"401,211"
2,Std,150,1,0.412,0.3304,0.7235,"153,521"
3,Std,50,0,0.5366,0.4449,0.7599,"704,625"
3,Std,50,1,0.5203,0.3782,0.5925,"477,178"
3,Std,100,0,0.1387,0.1267,0.1483,
3,Std,100,1,0.1383,0.1213,0.1537,
3,Std,150,0,0.3268,0.3441,0.5413,"417,189"
3,Std,150,1,0.3183,0.3384,0.5599,"392,887"
3.5,Std,50,0,0.696,0.6356,1.0263,"911,812"
3.5,Std,50,1,0.7136,0.6445,1.0355,"488,838"
3.5,Std,100,0,0.7993,0.6986,0.5868,
3.5,Std,100,1,0.7454,0.6189,0.6721,
3.5,Std,150,0,0.259,0.1969,0.3618,"378,195"
3.5,Std,150,1,0.2449,0.4152,0.4686,"539,734"
4,Std,50,0,0.6765,0.5536,0.9605,"1,050,197"
4,Std,50,1,0.6462,0.5157,0.8968,"325,948"
4,Std,100,0,1.46,1.2705,1.0253,
4,Std,100,1,1.3525,1.1165,1.1905,
4,Std,150,0,0.5495,0.291,0.4268,"462,832"
4,Std,150,1,0.5198,0.4168,0.4866,"277,896"
5,Std,50,0,0.3153,0.2995,0.6798,"251,385"
5,Std,50,1,0.3041,0.2888,0.4915,"200,862"
5,Std,100,0,1.1615,0.928,0.6183,
5,Std,100,1,0.973,0.7445,0.7945,
5,Std,150,0,0.3104,0.2376,0.391,"482,129"
5,Std,150,1,0.5605,0.3693,0.3859,"200,588"
6,Std,50,0,0.3049,0.301,0.6947,"184,661"
6,Std,50,1,0.2712,0.2681,0.4302,"312,701"
6,Std,100,0,0.6885,0.63,0.918,
6,Std,100,1,0.565,0.4925,0.7405,
6,Std,150,0,0.2956,0.2721,0.5847,"262,573"
6,Std,150,1,0.5346,0.4111,0.581,"113,733"
